Time,Depth,Pressure,Oxygen,pH,DIC,TA,Salinity,Nitrate,Chlorophyll
22:08,2686,2729.3,7.001,,,,34.8977,,
22:17,2401,2438.1,6.473,,,,34.9284,,
22:24,2100,2131.0,6.363,,,,34.9315,,
22:31,1800,1825.3,6.344,,,,34.9307,,
22:38,1500,1520.1,6.339,,,,34.9311,,
22:46,1200,1215.2,6.867,,,,34.8625,,
22:51,1000,1012.2,6.880,,,,34.8672,,
22:56,800,809.4,6.884,,,,34.8839,,
23:00,600,606.8,6.917,,,,34.8877,,
23:06,400,404.3,6.760,,,,34.9046,,
23:11,200,202.1,6.632,,,,34.9585,,
23:18,34,34.3,6.710,,,,34.9636,,0.545575847
23:18,34,34.3,6.710,,,,34.9636,,0.585657046
